"date","location","latitude","longitude","note"
"2015-03","London, UK","51.5073510","-0.1277580","Business"
"2015-10","Funchal, Portugal","32.6669330","-16.9240550","Run"
"2016-03","Las Palmas de Gran Canaria, Las Palmas, Spain","28.1235460","-15.4362570","Run"
"2016-05","Santa Cruz de La Palma, Santa Cruz de Tenerife, Spain","28.6839890","-17.7645750","Run"
"2016-05","Oslo, Norway","59.9138690","10.7522450","Run"
"2016-06","Venice, Metropolitan City of Venice, Italy","45.4408470","12.3155150","Tourism"
"2016-06","Cortina d'Ampezzo, Province of Belluno, Italy","46.5404710","12.1356520","Run, Hike, Via ferrata"
"2016-09","Hanoi, Hoàn Kiếm, Hanoi, Vietnam","21.0277640","105.8341600","Tourism"
"2016-09","Sa Pa, Lào Cai, Vietnam","22.3363610","103.8437850","Run, Hike, Toursim"
"2016-09","Hạ Long Bay, Thành phố Hạ Long, Quảng Ninh Province, Vietnam","20.9100510","107.1839020","Tourism, Cayak"
"2016-09","Monkey Island, Cat Ba, Cát Hải, Haiphong, Vietnam","20.7279520","107.0794130","Tourism, Swim, Cayak"
"2016-10","İstanbul, Türkiye","41.0082380","28.9783590","Tourism"
"2016-10","Ürgüp, Nevşehir, Turkey","38.6311690","34.9121820","Tourism, Run"
"2016-11","Marrakech, Morroco","31.6294720","-7.9810840","Tourism"
"2016-11","Asni, Morroco","31.2422530","-7.9865870","Tourism, Run"
"2016-12","Cape Town, South Africa","-33.9248680","18.4240550","Tourism, Hike, Run"
"2016-12","Johannesburg, South Africa","-26.2041030","28.0473050","Tourism"
"2016-12","Kruger National Park, South Africa","-23.9883850","31.5547400","Tourism"
"2017-05","Horta, Portugal","38.5348450","-28.6299810","Tourism"
"2017-05","Pico Island, Portugal","38.4580490","-28.3228160","Run"
"2017-05","Caldeira, 9900, Portugal","38.5833930","-28.7168850","Run"
"2017-05","Lisbon, Portugal","38.7222520","-9.1393370","Tourism"
"2017-06","Stockholm, Sweden","59.3293230","18.0685810","Tourism, Run"
"2017-09","Montreal, QC, Canada","45.5016890","-73.5672560","Tourism"
"2017-09","Québec City, QC, Canada","46.8138780","-71.2079810","Tourism"
"2017-09","La Malbaie, QC, Canada","47.6569680","-70.1521870","Tourism, Run"
"2017-09","New York, NY, USA","40.7127750","-74.0059730","Tourism"
"2017-09","Toronto, ON, Canada","43.6532260","-79.3831840","Tourism"
"2017-09","Ottawa, ON, Canada","45.4215300","-75.6971930","Tourism"
